domain,segment,tech_or_family,parameter,unit,live_solved,v18_sourced,costdb,live==v18,confidence,gap_flag,refs_citation,costdb_source
INTERNAL,internal-RE,RNWTRN,ResidualCapacity,,5.0,YAML:5,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-RE,RNWTRN,CapacityToActivityUnit,,31.536,YAML:31.536,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-RE,RNWRPO,CapitalCost,,100.0,YAML:100,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-RE,RNWRPO,FixedCost,,4.0,YAML:4,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-RE,RNWRPO,OperationalLife,,20.0,YAML:20,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-RE,RNWRPO,ResidualCapacity,,5.0,YAML:5,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-RE,RNWRPO,CapacityToActivityUnit,,31.536,YAML:31.536,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-RE,RNWNLI,CapitalCost,,100.0,YAML:100,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-RE,RNWNLI,FixedCost,,4.0,YAML:4,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-RE,RNWNLI,OperationalLife,,20.0,YAML:20,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-RE,RNWNLI,ResidualCapacity,,5.0,YAML:5,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-RE,RNWNLI,CapacityToActivityUnit,,31.536,YAML:31.536,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-nonRE,PWRTRN,CapitalCost,,100.0,YAML:100,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-nonRE,PWRTRN,FixedCost,,4.0,YAML:4,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-nonRE,PWRTRN,OperationalLife,,50.0,YAML:20,,False,,DRIFT: live≠YAML,,
INTERNAL,internal-nonRE,PWRTRN,ResidualCapacity,,5.0,YAML:5,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-nonRE,PWRTRN,CapacityToActivityUnit,,31.536,YAML:31.536,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-nonRE,TRNRPO,CapitalCost,,100.0,YAML:100,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-nonRE,TRNRPO,FixedCost,,4.0,YAML:4,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-nonRE,TRNRPO,OperationalLife,,50.0,YAML:20,,False,,DRIFT: live≠YAML,,
INTERNAL,internal-nonRE,TRNRPO,ResidualCapacity,,5.0,YAML:5,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-nonRE,TRNRPO,CapacityToActivityUnit,,31.536,YAML:31.536,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-nonRE,TRNNLI,CapitalCost,,100.0,YAML:100,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-nonRE,TRNNLI,FixedCost,,4.0,YAML:4,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-nonRE,TRNNLI,OperationalLife,,50.0,YAML:20,,False,,DRIFT: live≠YAML,,
INTERNAL,internal-nonRE,TRNNLI,ResidualCapacity,,5.0,YAML:5,,True,,PLACEHOLDER-unsourced,,
INTERNAL,internal-nonRE,TRNNLI,CapacityToActivityUnit,,31.536,YAML:31.536,,True,,PLACEHOLDER-unsourced,,
